run_id,protocol,fcs,window,payload_bytes,input_bytes,seed,impairment,probability,unique_payload_bytes,transmitted_frame_bytes,original_transmissions,retransmissions,acks,timeouts,duplicates,out_of_order,completion_ms,rtt_sample_count,total_rtt_ms,current_timeout_ms,efficiency,goodput_bytes_per_second,mean_rtt_ms
stop-and-wait__none,stop-and-wait,crc16,1,46,4096,20260831,none,0.0,4096,5760,90,0,90,0,0,0,91,90,90,10,0.711111,45010.989011,1.000000
stop-and-wait__data-error__0.1,stop-and-wait,crc16,1,46,4096,20260831,data-error,0.1,4096,6400,90,10,90,10,0,0,201,81,81,10,0.640000,20378.109453,1.000000
stop-and-wait__data-error__0.2,stop-and-wait,crc16,1,46,4096,20260831,data-error,0.2,4096,7232,90,23,90,23,0,0,344,71,71,10,0.566372,11906.976744,1.000000
stop-and-wait__data-error__0.3,stop-and-wait,crc16,1,46,4096,20260831,data-error,0.3,4096,8576,90,44,90,44,0,0,575,59,59,10,0.477612,7123.478261,1.000000
stop-and-wait__data-error__0.4,stop-and-wait,crc16,1,46,4096,20260831,data-error,0.4,4096,9664,90,61,90,61,0,0,852,52,52,10,0.423841,4807.511737,1.000000
stop-and-wait__data-error__0.5,stop-and-wait,crc16,1,46,4096,20260831,data-error,0.5,4096,10752,90,78,90,78,0,0,1309,46,46,10,0.380952,3129.106188,1.000000
stop-and-wait__data-delay__0.1,stop-and-wait,crc16,1,46,4096,20260831,data-delay,0.1,4096,6400,90,10,90,10,0,0,201,81,81,10,0.640000,20378.109453,1.000000
stop-and-wait__data-delay__0.2,stop-and-wait,crc16,1,46,4096,20260831,data-delay,0.2,4096,7232,90,23,90,23,0,0,344,71,71,10,0.566372,11906.976744,1.000000
stop-and-wait__data-delay__0.3,stop-and-wait,crc16,1,46,4096,20260831,data-delay,0.3,4096,8576,90,44,90,44,0,0,575,59,59,10,0.477612,7123.478261,1.000000
stop-and-wait__data-delay__0.4,stop-and-wait,crc16,1,46,4096,20260831,data-delay,0.4,4096,9664,90,61,90,61,0,0,852,52,52,10,0.423841,4807.511737,1.000000
stop-and-wait__data-delay__0.5,stop-and-wait,crc16,1,46,4096,20260831,data-delay,0.5,4096,10752,90,78,90,78,0,0,1309,46,46,10,0.380952,3129.106188,1.000000
stop-and-wait__ack-error__0.1,stop-and-wait,crc16,1,46,4096,20260831,ack-error,0.1,4096,6336,90,9,90,9,0,0,190,83,83,10,0.646465,21557.894737,1.000000
stop-and-wait__ack-error__0.2,stop-and-wait,crc16,1,46,4096,20260831,ack-error,0.2,4096,7168,90,22,90,22,0,0,333,76,76,10,0.571429,12300.300300,1.000000
stop-and-wait__ack-error__0.3,stop-and-wait,crc16,1,46,4096,20260831,ack-error,0.3,4096,7808,90,32,90,32,0,0,443,66,66,10,0.524590,9246.049661,1.000000
stop-and-wait__ack-error__0.4,stop-and-wait,crc16,1,46,4096,20260831,ack-error,0.4,4096,8704,90,46,90,46,0,0,597,57,57,10,0.470588,6860.971524,1.000000
stop-and-wait__ack-error__0.5,stop-and-wait,crc16,1,46,4096,20260831,ack-error,0.5,4096,11584,90,91,90,91,0,0,1092,43,43,10,0.353591,3750.915751,1.000000
stop-and-wait__ack-delay__0.1,stop-and-wait,crc16,1,46,4096,20260831,ack-delay,0.1,4096,6336,90,9,90,9,0,0,190,83,83,10,0.646465,21557.894737,1.000000
stop-and-wait__ack-delay__0.2,stop-and-wait,crc16,1,46,4096,20260831,ack-delay,0.2,4096,7168,90,22,90,22,0,0,333,76,76,10,0.571429,12300.300300,1.000000
stop-and-wait__ack-delay__0.3,stop-and-wait,crc16,1,46,4096,20260831,ack-delay,0.3,4096,7808,90,32,90,32,0,0,443,66,66,10,0.524590,9246.049661,1.000000
stop-and-wait__ack-delay__0.4,stop-and-wait,crc16,1,46,4096,20260831,ack-delay,0.4,4096,8704,90,46,90,46,0,0,597,57,57,10,0.470588,6860.971524,1.000000
stop-and-wait__ack-delay__0.5,stop-and-wait,crc16,1,46,4096,20260831,ack-delay,0.5,4096,11584,90,91,90,91,0,0,1092,43,43,10,0.353591,3750.915751,1.000000
go-back-n__none,go-back-n,crc16,8,46,4096,20260831,none,0.0,4096,5760,90,0,90,0,0,0,13,90,90,10,0.711111,315076.923077,1.000000
go-back-n__data-error__0.1,go-back-n,crc16,8,46,4096,20260831,data-error,0.1,4096,10368,90,72,149,9,59,0,117,35,35,10,0.395062,35008.547009,1.000000
go-back-n__data-error__0.2,go-back-n,crc16,8,46,4096,20260831,data-error,0.2,4096,15168,90,147,187,20,97,0,241,12,12,10,0.270042,16995.850622,1.000000
go-back-n__data-error__0.3,go-back-n,crc16,8,46,4096,20260831,data-error,0.3,4096,31104,90,396,325,52,235,0,609,3,3,10,0.131687,6725.779967,1.000000
go-back-n__data-error__0.4,go-back-n,crc16,8,46,4096,20260831,data-error,0.4,4096,42560,90,575,386,76,296,0,7720,0,0,100,0.096241,530.569948,0.000000
go-back-n__data-error__0.5,go-back-n,crc16,8,46,4096,20260831,data-error,0.5,4096,56256,90,789,413,104,323,0,10556,0,0,100,0.072810,388.025767,0.000000
go-back-n__data-delay__0.1,go-back-n,crc16,8,46,4096,20260831,data-delay,0.1,4096,10368,90,72,149,9,59,0,117,35,35,10,0.395062,35008.547009,1.000000
go-back-n__data-delay__0.2,go-back-n,crc16,8,46,4096,20260831,data-delay,0.2,4096,15168,90,147,187,20,97,0,241,12,12,10,0.270042,16995.850622,1.000000
go-back-n__data-delay__0.3,go-back-n,crc16,8,46,4096,20260831,data-delay,0.3,4096,31104,90,396,325,52,235,0,609,3,3,10,0.131687,6725.779967,1.000000
go-back-n__data-delay__0.4,go-back-n,crc16,8,46,4096,20260831,data-delay,0.4,4096,42560,90,575,386,76,296,0,7720,0,0,100,0.096241,530.569948,0.000000
go-back-n__data-delay__0.5,go-back-n,crc16,8,46,4096,20260831,data-delay,0.5,4096,56256,90,789,413,104,323,0,10556,0,0,100,0.072810,388.025767,0.000000
go-back-n__ack-error__0.1,go-back-n,crc16,8,46,4096,20260831,ack-error,0.1,4096,5760,90,0,81,0,0,7,13,81,81,10,0.711111,315076.923077,1.000000
go-back-n__ack-error__0.2,go-back-n,crc16,8,46,4096,20260831,ack-error,0.2,4096,5760,90,0,73,0,0,10,13,73,73,10,0.711111,315076.923077,1.000000
go-back-n__ack-error__0.3,go-back-n,crc16,8,46,4096,20260831,ack-error,0.3,4096,5760,90,0,66,0,0,17,14,66,66,10,0.711111,292571.428571,1.000000
go-back-n__ack-error__0.4,go-back-n,crc16,8,46,4096,20260831,ack-error,0.4,4096,5760,90,0,59,0,0,22,14,59,59,10,0.711111,292571.428571,1.000000
go-back-n__ack-error__0.5,go-back-n,crc16,8,46,4096,20260831,ack-error,0.5,4096,5760,90,0,49,0,0,23,14,49,49,10,0.711111,292571.428571,1.000000
go-back-n__ack-delay__0.1,go-back-n,crc16,8,46,4096,20260831,ack-delay,0.1,4096,5760,90,0,81,0,0,7,13,81,81,10,0.711111,315076.923077,1.000000
go-back-n__ack-delay__0.2,go-back-n,crc16,8,46,4096,20260831,ack-delay,0.2,4096,5760,90,0,73,0,0,10,13,73,73,10,0.711111,315076.923077,1.000000
go-back-n__ack-delay__0.3,go-back-n,crc16,8,46,4096,20260831,ack-delay,0.3,4096,5760,90,0,66,0,0,17,14,66,66,10,0.711111,292571.428571,1.000000
go-back-n__ack-delay__0.4,go-back-n,crc16,8,46,4096,20260831,ack-delay,0.4,4096,5760,90,0,59,0,0,22,14,59,59,10,0.711111,292571.428571,1.000000
go-back-n__ack-delay__0.5,go-back-n,crc16,8,46,4096,20260831,ack-delay,0.5,4096,5760,90,0,49,0,0,23,14,49,49,10,0.711111,292571.428571,1.000000
selective-repeat__none,selective-repeat,crc16,8,46,4096,20260831,none,0.0,4096,5760,90,0,90,0,0,0,13,90,90,10,0.711111,315076.923077,1.000000
selective-repeat__data-error__0.1,selective-repeat,crc16,8,46,4096,20260831,data-error,0.1,4096,6400,90,10,90,7,0,43,98,80,80,10,0.640000,41795.918367,1.000000
selective-repeat__data-error__0.2,selective-repeat,crc16,8,46,4096,20260831,data-error,0.2,4096,7232,90,23,90,11,0,37,147,72,72,10,0.566372,27863.945578,1.000000
selective-repeat__data-error__0.3,selective-repeat,crc16,8,46,4096,20260831,data-error,0.3,4096,8576,90,44,90,18,0,54,233,61,61,10,0.477612,17579.399142,1.000000
selective-repeat__data-error__0.4,selective-repeat,crc16,8,46,4096,20260831,data-error,0.4,4096,9664,90,61,90,20,0,53,254,49,49,10,0.423841,16125.984252,1.000000
selective-repeat__data-error__0.5,selective-repeat,crc16,8,46,4096,20260831,data-error,0.5,4096,10752,90,78,90,26,0,56,328,46,46,10,0.380952,12487.804878,1.000000
selective-repeat__data-delay__0.1,selective-repeat,crc16,8,46,4096,20260831,data-delay,0.1,4096,6400,90,10,90,7,0,43,98,80,80,10,0.640000,41795.918367,1.000000
selective-repeat__data-delay__0.2,selective-repeat,crc16,8,46,4096,20260831,data-delay,0.2,4096,7232,90,23,90,11,0,37,147,72,72,10,0.566372,27863.945578,1.000000
selective-repeat__data-delay__0.3,selective-repeat,crc16,8,46,4096,20260831,data-delay,0.3,4096,8576,90,44,90,18,0,54,233,61,61,10,0.477612,17579.399142,1.000000
selective-repeat__data-delay__0.4,selective-repeat,crc16,8,46,4096,20260831,data-delay,0.4,4096,9664,90,61,90,20,0,53,254,49,49,10,0.423841,16125.984252,1.000000
selective-repeat__data-delay__0.5,selective-repeat,crc16,8,46,4096,20260831,data-delay,0.5,4096,10752,90,78,90,26,0,56,328,46,46,10,0.380952,12487.804878,1.000000
selective-repeat__ack-error__0.1,selective-repeat,crc16,8,46,4096,20260831,ack-error,0.1,4096,6336,90,9,90,5,0,26,76,83,83,10,0.646465,53894.736842,1.000000
selective-repeat__ack-error__0.2,selective-repeat,crc16,8,46,4096,20260831,ack-error,0.2,4096,7168,90,22,90,10,0,32,132,75,75,10,0.571429,31030.303030,1.000000
selective-repeat__ack-error__0.3,selective-repeat,crc16,8,46,4096,20260831,ack-error,0.3,4096,7808,90,32,90,12,0,43,162,66,66,10,0.524590,25283.950617,1.000000
selective-repeat__ack-error__0.4,selective-repeat,crc16,8,46,4096,20260831,ack-error,0.4,4096,8704,90,46,90,18,0,59,232,59,59,10,0.470588,17655.172414,1.000000
selective-repeat__ack-error__0.5,selective-repeat,crc16,8,46,4096,20260831,ack-error,0.5,4096,11584,90,91,90,33,0,61,408,43,43,10,0.353591,10039.215686,1.000000
selective-repeat__ack-delay__0.1,selective-repeat,crc16,8,46,4096,20260831,ack-delay,0.1,4096,6336,90,9,90,5,0,26,76,83,83,10,0.646465,53894.736842,1.000000
selective-repeat__ack-delay__0.2,selective-repeat,crc16,8,46,4096,20260831,ack-delay,0.2,4096,7168,90,22,90,10,0,32,132,75,75,10,0.571429,31030.303030,1.000000
